QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,,RB,Carlos Hyde (7571864),Carlos Hyde,7571864,5100,SF@Buf 01:00PM ET,SF,
,,,,,,,,,,RB,Jonathan Stewart (7571893),Jonathan Stewart,7571893,5100,Car@NO 01:00PM ET,Car,
,,,,,,,,,,QB,Jay Cutler (7571816),Jay Cutler,7571816,5100,Jax@Chi 01:00PM ET,Chi,
,,,,,,,,,,RB,Jamaal Charles (7571934),Jamaal Charles,7571934,5100,KC@Oak 04:05PM ET,KC,
,,,,,,,,,,QB,Colin Kaepernick (7571790),Colin Kaepernick,7571790,5000,SF@Buf 01:00PM ET,SF,
,,,,,,,,,,QB,Christian Ponder (7571791),Christian Ponder,7571791,5000,SF@Buf 01:00PM ET,SF,
,,,,,,,,,,QB,EJ Manuel (7571793),EJ Manuel,7571793,5000,SF@Buf 01:00PM ET,Buf,
,,,,,,,,,,QB,Blaine Gabbert (7571794),Blaine Gabbert,7571794,5000,SF@Buf 01:00PM ET,SF,
,,,,,,,,,,QB,Cardale Jones (7571795),Cardale Jones,7571795,5000,SF@Buf 01:00PM ET,Buf,
,,,,,,,,,,QB,Chase Daniel (7571796),Chase Daniel,7571796,5000,Phi@Was 01:00PM ET,Phi,
,,,,,,,,,,QB,Colt McCoy (7571797),Colt McCoy,7571797,5000,Phi@Was 01:00PM ET,Was,
,,,,,,,,,,QB,Nate Sudfeld (7571800),Nate Sudfeld,7571800,5000,Phi@Was 01:00PM ET,Was,
,,,,,,,,,,QB,Josh McCown (7571801),Josh McCown,7571801,5000,Cle@Ten 01:00PM ET,Cle,
,,,,,,,,,,QB,Matt Cassel (7571802),Matt Cassel,7571802,5000,Cle@Ten 01:00PM ET,Ten,
,,,,,,,,,,QB,Charlie Whitehurst (7571803),Charlie Whitehurst,7571803,5000,Cle@Ten 01:00PM ET,Cle,
,,,,,,,,,,QB,Cody Kessler (7571804),Cody Kessler,7571804,5000,Cle@Ten 01:00PM ET,Cle,
,,,,,,,,,,QB,Josh Johnson (7571808),Josh Johnson,7571808,5000,Bal@NYG 01:00PM ET,NYG,
,,,,,,,,,,QB,Ryan Mallett (7571809),Ryan Mallett,7571809,5000,Bal@NYG 01:00PM ET,Bal,
,,,,,,,,,,QB,Ryan Nassib (7571810),Ryan Nassib,7571810,5000,Bal@NYG 01:00PM ET,NYG,
,,,,,,,,,,RB,Terrance West (7571886),Terrance West,7571886,5000,Bal@NYG 01:00PM ET,Bal,
,,,,,,,,,,QB,Luke McCown (7571813),Luke McCown,7571813,5000,Car@NO 01:00PM ET,NO,
,,,,,,,,,,QB,Joe Webb (7571814),Joe Webb,7571814,5000,Car@NO 01:00PM ET,Car,
,,,,,,,,,,QB,Chad Henne (7571818),Chad Henne,7571818,5000,Jax@Chi 01:00PM ET,Jax,
,,,,,,,,,,QB,Matt Barkley (7571819),Matt Barkley,7571819,5000,Jax@Chi 01:00PM ET,Chi,
,,,,,,,,,,QB,Brandon Allen (7571821),Brandon Allen,7571821,5000,Jax@Chi 01:00PM ET,Jax,
,,,,,,,,,,QB,Dan Orlovsky (7571822),Dan Orlovsky,7571822,5000,LA@Det 01:00PM ET,Det,
,,,,,,,,,,QB,Case Keenum (7571824),Case Keenum,7571824,5000,LA@Det 01:00PM ET,LA,
,,,,,,,,,,QB,Sean Mannion (7571825),Sean Mannion,7571825,5000,LA@Det 01:00PM ET,LA,
,,,,,,,,,,QB,Jared Goff (7571826),Jared Goff,7571826,5000,LA@Det 01:00PM ET,LA,
,,,,,,,,,,QB,Bruce Gradkowski (7571827),Bruce Gradkowski,7571827,5000,Pit@Mia 01:00PM ET,Pit,
,,,,,,,,,,QB,Matt Moore (7571828),Matt Moore,7571828,5000,Pit@Mia 01:00PM ET,Mia,
,,,,,,,,,,QB,Landry Jones (7571831),Landry Jones,7571831,5000,Pit@Mia 01:00PM ET,Pit,
,,,,,,,,,,QB,Zach Mettenberger (7571832),Zach Mettenberger,7571832,5000,Pit@Mia 01:00PM ET,Pit,
,,,,,,,,,,WR,DeVante Parker (7572055),DeVante Parker,7572055,5000,Pit@Mia 01:00PM ET,Mia,
,,,,,,,,,,QB,AJ McCarron (7571835),AJ McCarron,7571835,5000,Cin@NE 01:00PM ET,Cin,
,,,,,,,,,,QB,Jimmy Garoppolo (7571836),Jimmy Garoppolo,7571836,5000,Cin@NE 01:00PM ET,NE,
,,,,,,,,,,QB,Jeff Driskel (7571837),Jeff Driskel,7571837,5000,Cin@NE 01:00PM ET,Cin,
,,,,,,,,,,RB,LeGarrette Blount (7571927),LeGarrette Blount,7571927,5000,Cin@NE 01:00PM ET,NE,
,,,,,,,,,,QB,Nick Foles (7571839),Nick Foles,7571839,5000,KC@Oak 04:05PM ET,KC,
,,,,,,,,,,QB,Matt McGloin (7571840),Matt McGloin,7571840,5000,KC@Oak 04:05PM ET,Oak,
,,,,,,,,,,QB,Tyler Bray (7571842),Tyler Bray,7571842,5000,KC@Oak 04:05PM ET,KC,
,,,,,,,,,,QB,Connor Cook (7571843),Connor Cook,7571843,5000,KC@Oak 04:05PM ET,Oak,
,,,,,,,,,,TE,Travis Kelce (7572183),Travis Kelce,7572183,5000,KC@Oak 04:05PM ET,KC,
,,,,,,,,,,QB,Matt Schaub (7571845),Matt Schaub,7571845,5000,Atl@Sea 04:25PM ET,Atl,
,,,,,,,,,,QB,Trevone Boykin (7571847),Trevone Boykin,7571847,5000,Atl@Sea 04:25PM ET,Sea,
,,,,,,,,,,QB,Mark Sanchez (7571850),Mark Sanchez,7571850,5000,Dal@GB 04:25PM ET,Dal,
,,,,,,,,,,QB,Brett Hundley (7571851),Brett Hundley,7571851,5000,Dal@GB 04:25PM ET,GB,
,,,,,,,,,,QB,Joe Callahan (7571853),Joe Callahan,7571853,5000,Dal@GB 04:25PM ET,GB,
,,,,,,,,,,QB,Scott Tolzien (7571854),Scott Tolzien,7571854,5000,Ind@Hou 08:30PM ET,Ind,
,,,,,,,,,,QB,Brandon Weeden (7571855),Brandon Weeden,7571855,5000,Ind@Hou 08:30PM ET,Hou,
,,,,,,,,,,QB,Tom Savage (7571858),Tom Savage,7571858,5000,Ind@Hou 08:30PM ET,Hou,
,,,,,,,,,,RB,Ryan Mathews (7571868),Ryan Mathews,7571868,4900,Phi@Was 01:00PM ET,Phi,
,,,,,,,,,,TE,Jimmy Graham (7572192),Jimmy Graham,7572192,4900,Atl@Sea 04:25PM ET,Sea,
,,,,,,,,,,RB,DeAngelo Williams (7571917),DeAngelo Williams,7571917,4800,Pit@Mia 01:00PM ET,Pit,
,,,,,,,,,,RB,Tevin Coleman (7571949),Tevin Coleman,7571949,4800,Atl@Sea 04:25PM ET,Atl,
,,,,,,,,,,WR,Allen Hurns (7572032),Allen Hurns,7572032,4700,Jax@Chi 01:00PM ET,Jax,
,,,,,,,,,,RB,Arian Foster (7571918),Arian Foster,7571918,4700,Pit@Mia 01:00PM ET,Mia,
,,,,,,,,,,WR,Sammie Coates (7572054),Sammie Coates,7572054,4700,Pit@Mia 01:00PM ET,Pit,
,,,,,,,,,,RB,Isaiah Crowell (7571878),Isaiah Crowell,7571878,4600,Cle@Ten 01:00PM ET,Cle,
,,,,,,,,,,RB,Giovani Bernard (7571930),Giovani Bernard,7571930,4600,Cin@NE 01:00PM ET,Cin,
,,,,,,,,,,WR,Chris Hogan (7572065),Chris Hogan,7572065,4600,Cin@NE 01:00PM ET,NE,
,,,,,,,,,,WR,Corey Coleman (7572001),Corey Coleman,7572001,4500,Cle@Ten 01:00PM ET,Cle,
,,,,,,,,,,RB,Rashad Jennings (7571882),Rashad Jennings,7571882,4500,Bal@NYG 01:00PM ET,NYG,
,,,,,,,,,,TE,Martellus Bennett (7572175),Martellus Bennett,7572175,4500,Cin@NE 01:00PM ET,NE,
,,,,,,,,,,RB,Darren Sproles (7571867),Darren Sproles,7571867,4400,Phi@Was 01:00PM ET,Phi,
,,,,,,,,,,WR,Jamison Crowder (7571988),Jamison Crowder,7571988,4400,Phi@Was 01:00PM ET,Was,
,,,,,,,,,,RB,T.J. Yeldon (7571906),T.J. Yeldon,7571906,4400,Jax@Chi 01:00PM ET,Jax,
,,,,,,,,,,WR,Golden Tate (7572042),Golden Tate,7572042,4400,LA@Det 01:00PM ET,Det,
,,,,,,,,,,RB,Latavius Murray (7571937),Latavius Murray,7571937,4400,KC@Oak 04:05PM ET,Oak,
,,,,,,,,,,WR,Cole Beasley (7572096),Cole Beasley,7572096,4400,Dal@GB 04:25PM ET,Dal,
,,,,,,,,,,TE,Dennis Pitta (7572138),Dennis Pitta,7572138,4300,Bal@NYG 01:00PM ET,Bal,
,,,,,,,,,,RB,Fozzy Whittaker (7571894),Fozzy Whittaker,7571894,4300,Car@NO 01:00PM ET,Car,
,,,,,,,,,,WR,Michael Thomas (7572025),Michael Thomas,7572025,4300,Car@NO 01:00PM ET,NO,
,,,,,,,,,,WR,Mohamed Sanu (7572086),Mohamed Sanu,7572086,4300,Atl@Sea 04:25PM ET,Atl,
,,,,,,,,,,WR,Phillip Dorsett (7572110),Phillip Dorsett,7572110,4300,Ind@Hou 08:30PM ET,Ind,
,,,,,,,,,,WR,Robert Woods (7571978),Robert Woods,7571978,4200,SF@Buf 01:00PM ET,Buf,
,,,,,,,,,,WR,Victor Cruz (7572006),Victor Cruz,7572006,4200,Bal@NYG 01:00PM ET,NYG,
,,,,,,,,,,TE,Julius Thomas (7572155),Julius Thomas,7572155,4200,Jax@Chi 01:00PM ET,Jax,
,,,,,,,,,,RB,DeAndre Washington (7571941),DeAndre Washington,7571941,4200,KC@Oak 04:05PM ET,Oak,
,,,,,,,,,,RB,Thomas Rawls (7571948),Thomas Rawls,7571948,4200,Atl@Sea 04:25PM ET,Sea,
,,,,,,,,,,TE,Jason Witten (7572199),Jason Witten,7572199,4200,Dal@GB 04:25PM ET,Dal,
,,,,,,,,,,WR,Tajae Sharpe (7572002),Tajae Sharpe,7572002,4100,Cle@Ten 01:00PM ET,Ten,
,,,,,,,,,,WR,Cameron Meredith (7572034),Cameron Meredith,7572034,4100,Jax@Chi 01:00PM ET,Chi,
,,,,,,,,,,RB,James White (7571931),James White,7571931,4100,Cin@NE 01:00PM ET,NE,
,,,,,,,,,,TE,Tyler Eifert (7572179),Tyler Eifert,7572179,4100,Cin@NE 01:00PM ET,Cin,
,,,,,,,,,,WR,Jeremy Kerley (7571972),Jeremy Kerley,7571972,4000,SF@Buf 01:00PM ET,SF,
,,,,,,,,,,RB,Matt Jones (7571872),Matt Jones,7571872,4000,Phi@Was 01:00PM ET,Was,
,,,,,,,,,,TE,Zach Ertz (7572126),Zach Ertz,7572126,4000,Phi@Was 01:00PM ET,Phi,
,,,,,,,,,,WR,Eddie Royal (7572027),Eddie Royal,7572027,4000,Jax@Chi 01:00PM ET,Chi,
,,,,,,,,,,RB,Jeremy Hill (7571932),Jeremy Hill,7571932,4000,Cin@NE 01:00PM ET,Cin,
,,,,,,,,,,RB,Duke Johnson Jr. (7571880),Duke Johnson Jr.,7571880,3900,Cle@Ten 01:00PM ET,Cle,
,,,,,,,,,,WR,Ted Ginn Jr. (7572016),Ted Ginn Jr.,7572016,3900,Car@NO 01:00PM ET,Car,
,,,,,,,,,,WR,Anquan Boldin (7572038),Anquan Boldin,7572038,3900,LA@Det 01:00PM ET,Det,
,,,,,,,,,,WR,Tavon Austin (7572044),Tavon Austin,7572044,3900,LA@Det 01:00PM ET,LA,
,,,,,,,,,,WR,Davante Adams (7572100),Davante Adams,7572100,3900,Dal@GB 04:25PM ET,GB,
,,,,,,,,,,WR,Pierre Garcon (7571982),Pierre Garcon,7571982,3800,Phi@Was 01:00PM ET,Was,
,,,,,,,,,,WR,Devin Funchess (7572026),Devin Funchess,7572026,3800,Car@NO 01:00PM ET,Car,
,,,,,,,,,,RB,Jeremy Langford (7571904),Jeremy Langford,7571904,3800,Jax@Chi 01:00PM ET,Chi,
,,,,,,,,,,TE,Zach Miller (7572152),Zach Miller,7572152,3800,Jax@Chi 01:00PM ET,Chi,
,,,,,,,,,,RB,Jalen Richard (7571942),Jalen Richard,7571942,3800,KC@Oak 04:05PM ET,Oak,
,,,,,,,,,,WR,Terrance Williams (7572095),Terrance Williams,7572095,3800,Dal@GB 04:25PM ET,Dal,
,,,,,,,,,,DST,Bills  (7572563),Bills ,7572563,3700,SF@Buf 01:00PM ET,Buf,
,,,,,,,,,,RB,Orleans Darkwa (7571885),Orleans Darkwa,7571885,3700,Bal@NYG 01:00PM ET,NYG,
,,,,,,,,,,RB,Cameron Artis-Payne (7571899),Cameron Artis-Payne,7571899,3700,Car@NO 01:00PM ET,Car,
,,,,,,,,,,WR,Kenny Britt (7572040),Kenny Britt,7572040,3700,LA@Det 01:00PM ET,LA,
,,,,,,,,,,WR,Danny Amendola (7572060),Danny Amendola,7572060,3700,Cin@NE 01:00PM ET,NE,
,,,,,,,,,,WR,Corey Brown (7572019),Corey Brown,7572019,3600,Car@NO 01:00PM ET,Car,
,,,,,,,,,,WR,Markus Wheaton (7572051),Markus Wheaton,7572051,3600,Pit@Mia 01:00PM ET,Pit,
,,,,,,,,,,WR,Tyler Lockett (7572090),Tyler Lockett,7572090,3600,Atl@Sea 04:25PM ET,Sea,
,,,,,,,,,,DST,Seahawks  (7572584),Seahawks ,7572584,3600,Atl@Sea 04:25PM ET,Sea,
,,,,,,,,,,WR,Nelson Agholor (7571991),Nelson Agholor,7571991,3500,Phi@Was 01:00PM ET,Phi,
,,,,,,,,,,TE,Coby Fleener (7572147),Coby Fleener,7572147,3500,Car@NO 01:00PM ET,NO,
,,,,,,,,,,RB,Chris Ivory (7571900),Chris Ivory,7571900,3500,Jax@Chi 01:00PM ET,Jax,
,,,,,,,,,,RB,Dwayne Washington (7571916),Dwayne Washington,7571916,3500,LA@Det 01:00PM ET,Det,
,,,,,,,,,,RB,Jay Ajayi (7571923),Jay Ajayi,7571923,3500,Pit@Mia 01:00PM ET,Mia,
,,,,,,,,,,WR,Brice Butler (7572094),Brice Butler,7572094,3500,Dal@GB 04:25PM ET,Dal,
,,,,,,,,,,RB,Derrick Henry (7571881),Derrick Henry,7571881,3400,Cle@Ten 01:00PM ET,Ten,
,,,,,,,,,,WR,Rishard Matthews (7571998),Rishard Matthews,7571998,3400,Cle@Ten 01:00PM ET,Ten,
,,,,,,,,,,TE,Eric Ebron (7572163),Eric Ebron,7572163,3400,LA@Det 01:00PM ET,Det,
,,,,,,,,,,DST,Steelers  (7572578),Steelers ,7572578,3400,Pit@Mia 01:00PM ET,Pit,
,,,,,,,,,,RB,Charcandrick West (7571943),Charcandrick West,7571943,3400,KC@Oak 04:05PM ET,KC,
,,,,,,,,,,RB,C.J. Spiller (7571944),C.J. Spiller,7571944,3400,Atl@Sea 04:25PM ET,Sea,
,,,,,,,,,,RB,James Starks (7571952),James Starks,7571952,3400,Dal@GB 04:25PM ET,GB,
,,,,,,,,,,WR,Torrey Smith (7571971),Torrey Smith,7571971,3300,SF@Buf 01:00PM ET,SF,
,,,,,,,,,,WR,Andre Johnson (7571992),Andre Johnson,7571992,3300,Cle@Ten 01:00PM ET,Ten,
,,,,,,,,,,TE,Gary Barnidge (7572131),Gary Barnidge,7572131,3300,Cle@Ten 01:00PM ET,Cle,
,,,,,,,,,,DST,Titans  (7572568),Titans ,7572568,3300,Cle@Ten 01:00PM ET,Ten,
,,,,,,,,,,RB,Bobby Rainey (7571883),Bobby Rainey,7571883,3300,Bal@NYG 01:00PM ET,NYG,
,,,,,,,,,,RB,Paul Perkins (7571888),Paul Perkins,7571888,3300,Bal@NYG 01:00PM ET,NYG,
,,,,,,,,,,RB,Kenneth Dixon (7571889),Kenneth Dixon,7571889,3300,Bal@NYG 01:00PM ET,Bal,
,,,,,,,,,,WR,Kenny Stills (7572052),Kenny Stills,7572052,3300,Pit@Mia 01:00PM ET,Mia,
,,,,,,,,,,RB,Alfred Morris (7571953),Alfred Morris,7571953,3300,Dal@GB 04:25PM ET,Dal,
,,,,,,,,,,RB,Chris Thompson (7571870),Chris Thompson,7571870,3200,Phi@Was 01:00PM ET,Was,
,,,,,,,,,,RB,Wendell Smallwood (7571873),Wendell Smallwood,7571873,3200,Phi@Was 01:00PM ET,Phi,
,,,,,,,,,,WR,Dorial Green-Beckham (7571989),Dorial Green-Beckham,7571989,3200,Phi@Was 01:00PM ET,Phi,
,,,,,,,,,,WR,Brian Quick (7572041),Brian Quick,7572041,3200,LA@Det 01:00PM ET,LA,
